"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","elb_var","shldr_ir","elb_var_max","shldr_ir_max","elb_var_min","shldr_ir_min"
"75","p02",25,205.4,74,"R",76.8,36.3,38,74.2,46.23532,60.593394,50.323607,62.955006,12.273731,19.166476
"76","p02",25,205.4,74,"R",76.8,36.3,39,75.8,50.323607,62.955006,50.323607,62.955006,12.273731,19.166476
"77","p02",25,205.4,74,"R",76.8,36.3,40,76.8,48.60071,62.363572,50.323607,62.955006,12.273731,19.166476
"78","p03",27,219.8,73,"R",74.6,33.6,1,34.1,17.467546,23.410737,55.197979,73.76286,17.467546,22.856376
"79","p03",27,219.8,73,"R",74.6,33.6,2,33.6,18.163846,22.99331,55.197979,73.76286,17.467546,22.856376
"80","p03",27,219.8,73,"R",74.6,33.6,3,35.2,18.57494,22.856376,55.197979,73.76286,17.467546,22.856376
"81","p03",27,219.8,73,"R",74.6,33.6,4,36.4,20.300394,23.275871,55.197979,73.76286,17.467546,22.856376
"82","p03",27,219.8,73,"R",74.6,33.6,5,35.3,18.862058,23.777792,55.197979,73.76286,17.467546,22.856376
"83","p03",27,219.8,73,"R",74.6,33.6,6,37,17.955805,25.140624,55.197979,73.76286,17.467546,22.856376
"84","p03",27,219.8,73,"R",74.6,33.6,7,38.8,20.876133,27.717197,55.197979,73.76286,17.467546,22.856376
"85","p03",27,219.8,73,"R",74.6,33.6,8,39.8,21.736281,30.111587,55.197979,73.76286,17.467546,22.856376
"86","p03",27,219.8,73,"R",74.6,33.6,9,43.8,23.041471,29.604544,55.197979,73.76286,17.467546,22.856376
"87","p03",27,219.8,73,"R",74.6,33.6,10,43.5,24.709791,31.005535,55.197979,73.76286,17.467546,22.856376
"88","p03",27,219.8,73,"R",74.6,33.6,11,44.4,24.083072,31.885264,55.197979,73.76286,17.467546,22.856376
"89","p03",27,219.8,73,"R",74.6,33.6,12,43.4,24.449075,29.695363,55.197979,73.76286,17.467546,22.856376
"90","p03",27,219.8,73,"R",74.6,33.6,13,44.5,23.109455,31.735004,55.197979,73.76286,17.467546,22.856376
"91","p03",27,219.8,73,"R",74.6,33.6,14,47.1,27.73776,37.052872,55.197979,73.76286,17.467546,22.856376
"92","p03",27,219.8,73,"R",74.6,33.6,15,48.8,26.094979,36.514559,55.197979,73.76286,17.467546,22.856376
"93","p03",27,219.8,73,"R",74.6,33.6,16,48.6,28.606893,37.193825,55.197979,73.76286,17.467546,22.856376
"94","p03",27,219.8,73,"R",74.6,33.6,17,49.9,28.133526,39.268067,55.197979,73.76286,17.467546,22.856376
"95","p03",27,219.8,73,"R",74.6,33.6,18,49.6,27.84485,39.620827,55.197979,73.76286,17.467546,22.856376
"96","p03",27,219.8,73,"R",74.6,33.6,19,51.2,29.257117,37.966612,55.197979,73.76286,17.467546,22.856376
"97","p03",27,219.8,73,"R",74.6,33.6,20,51,29.93455,39.165216,55.197979,73.76286,17.467546,22.856376
"98","p03",27,219.8,73,"R",74.6,33.6,21,53.4,31.470142,43.480839,55.197979,73.76286,17.467546,22.856376
"99","p03",27,219.8,73,"R",74.6,33.6,22,54.2,32.308631,44.192771,55.197979,73.76286,17.467546,22.856376
