kww	// User ID
16-2-2021	// Evaluation date
caitlin-pilot_24_48.4	10-2-2021	16:14:26:725	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.701184	// height
54.982867	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
56	0.877989	0.563806	0.759292	3.492725	0.210550	-3.492725	-7.235615	5.937415	-2.941103	-5.937415	1.992247	0.483877	
57	0.216760	0.071980	0.714176	-1.559329	0.583422	1.559329	-11.572516	5.188761	-1.448133	-5.188761	0.820521	0.506839	
58	-0.279195	-0.300397	0.653026	-5.603211	0.759036	5.603211	-11.658643	2.791142	-0.274410	-2.791142	0.025170	0.519402	
59	-0.499108	-0.451876	0.611157	-6.185852	0.700046	6.185852	-8.822821	0.658054	0.355471	-0.658054	-0.290107	0.517605	
60	-0.496875	-0.487610	0.591329	-5.967325	0.683245	5.967325	-7.254712	0.484344	-0.110561	-0.484344	0.034964	0.505997	
61	-0.283963	-0.383883	0.576272	-7.078635	0.880732	7.078635	-7.716313	1.679270	-1.259621	-1.679270	0.682382	0.490013	
62	-0.012720	-0.168526	0.558126	-6.226640	0.975363	6.226640	-7.086484	2.518042	-1.904745	-2.518042	0.997740	0.474771	
63	-0.042787	-0.176125	0.542539	-0.887647	0.410750	0.887647	-2.927682	2.287708	-2.089169	-2.287708	1.137554	0.462992	
64	-0.440528	-0.585768	0.538135	5.430432	-1.007654	-5.430432	4.198689	1.467796	-3.171672	-1.467796	1.914230	0.452275	
65	-0.745336	-0.973102	0.549559	9.330501	-2.837960	-9.330501	11.832508	0.108230	-5.166444	-0.108230	2.962697	0.441592	
66	-0.675836	-0.940387	0.575877	10.346139	-4.328563	-10.346139	17.405872	-2.306347	-6.143568	2.306347	3.016923	0.434777	
67	-0.500904	-0.696176	0.615847	7.203500	-4.915089	-7.203500	19.271242	-5.247275	-5.097390	5.247275	2.108861	0.434244	
68	-0.266070	-0.377189	0.668694	0.516413	-4.335987	-0.516413	16.755440	-6.464471	-3.128928	6.464471	0.869376	0.440665	
69	0.406467	0.316978	0.727831	-4.448939	-2.737593	4.448939	10.583405	-4.808503	-1.193457	4.808503	-1.042022	0.452832	
70	1.469277	1.364078	0.783833	-5.027457	-0.795166	5.027457	3.230312	-1.694894	0.782079	1.694894	-3.633456	0.466118	
71	2.266794	2.136704	0.830925	-2.493755	0.698102	2.493755	-2.483395	1.464210	2.387061	-1.464210	-5.688415	0.476274	
72	2.349918	2.166443	0.869782	1.473816	1.463220	-1.473816	-5.527785	3.266336	2.613928	-3.266336	-6.228963	0.477317	
73	1.970613	1.705554	0.899840	4.829415	1.804794	-4.829415	-7.014305	3.556970	1.518734	-3.556970	-5.754709	0.461373	
74	1.577634	1.249379	0.916595	5.843597	2.054701	-5.843597	-8.293682	4.333357	0.243770	-4.333357	-5.251808	0.429255	
75	1.252488	0.917638	0.914911	4.103841	2.233682	-4.103841	-9.580467	6.365098	-0.474227	-6.365098	-4.764314	0.393765	
76	0.887586	0.593008	0.890835	1.007433	2.210845	-1.007433	-10.255208	7.931158	-0.801547	-7.931158	-3.898952	0.368728	
77	0.516024	0.278621	0.849453	-0.999809	1.836888	0.999809	-9.252059	7.715525	-1.186864	-7.715525	-2.933746	0.358761	
78	0.381171	0.209460	0.804851	1.049623	1.184897	-1.049623	-6.640606	6.842647	-1.328439	-6.842647	-2.755063	0.360219	
79	0.769451	0.668742	0.762368	6.708003	0.721282	-6.708003	-5.302262	6.498531	0.036707	-6.498531	-3.716828	0.366572	
80	1.507469	1.460331	0.715685	9.521125	0.725274	-9.521125	-7.111138	6.056948	2.960808	-6.056948	-4.581846	0.369618	
81	1.945948	1.924579	0.670024	5.809363	0.845197	-5.809363	-9.088990	4.965459	5.227000	-4.965459	-3.928174	0.362427	
82	1.853180	1.857174	0.644653	0.327204	0.720146	-0.327204	-8.320535	3.832389	5.385098	-3.832389	-2.513003	0.344852	
83	1.657868	1.713179	0.640852	-2.579891	0.471647	2.579891	-6.513107	3.390734	4.447712	-3.390734	-1.989820	0.321345	
84	1.625603	1.739398	0.637798	-4.837389	0.365574	4.837389	-6.260146	2.874324	3.693669	-2.874324	-2.180883	0.295336	
85	1.609850	1.755908	0.627917	-7.280289	0.418997	7.280289	-7.080835	1.591458	3.211265	-1.591458	-2.115173	0.271205	
86	1.621677	1.778328	0.622824	-6.312519	0.494177	6.312519	-7.296153	0.685635	2.890733	-0.685635	-2.076264	0.256877	
87	1.940478	2.102902	0.623615	-2.249218	0.661641	2.249218	-7.535673	1.092030	3.075552	-1.092030	-2.497478	0.258777	
88	2.492674	2.649487	0.611995	0.626994	1.216050	-0.626994	-9.272764	3.019817	3.553113	-3.019817	-2.730457	0.277718	
89	2.772686	2.909327	0.579043	1.902358	2.145969	-1.902358	-11.425602	5.429570	3.506684	-5.429570	-2.443841	0.309461	
90	2.678701	2.790172	0.541212	2.400194	3.000213	-2.400194	-11.996525	6.138982	2.923035	-6.138982	-2.238121	0.345228	
91	2.579144	2.667308	0.516708	1.465285	3.387296	-1.465285	-10.687730	4.707050	2.386956	-4.707050	-2.362380	0.376768	
92	2.426916	2.512918	0.501314	-0.717223	3.167825	0.717223	-8.236780	2.712078	1.833983	-2.712078	-2.479750	0.400882	
93	1.856232	1.987246	0.481789	-2.110575	2.338839	2.110575	-5.334557	1.415272	0.989520	-1.415272	-2.514343	0.416558	
94	1.035460	1.247702	0.454198	-1.442463	1.241259	1.442463	-2.770375	0.950822	0.222081	-0.950822	-2.691097	0.421328	
95	0.426641	0.713750	0.417774	0.270398	0.415012	-0.270398	-1.121661	1.349847	-0.097108	-1.349847	-2.903461	0.412721	
96	-0.036074	0.301678	0.373005	1.479406	-0.013425	-1.479406	-0.313355	2.219164	-0.066735	-2.219164	-2.674191	0.392046	
97	-0.720996	-0.336667	0.331294	1.556103	-0.330471	-1.556103	-0.242862	2.509868	0.364480	-2.509868	-1.886024	0.364699	
98	-1.515156	-1.074193	0.308913	0.818704	-0.616165	-0.818704	-1.063822	2.001271	1.325533	-2.001271	-1.236115	0.337198	
99	-1.937376	-1.451293	0.311128	0.435929	-0.647990	-0.435929	-2.336554	1.643921	2.351251	-1.643921	-1.423757	0.315473	
100	-1.867956	-1.385276	0.334628	1.590705	-0.371249	-1.590705	-3.130231	1.868823	2.842193	-1.868823	-2.184804	0.304395	
101	-1.604161	-1.186723	0.376775	4.157615	0.005033	-4.157615	-3.171082	2.173053	2.822472	-2.173053	-2.957129	0.306603	
102	-1.266656	-0.969995	0.434716	7.287551	0.000000	-7.287551	-2.714358	2.569252	2.396665	-2.569252	-3.746627	0.321322	
103	-0.719960	-0.599346	0.500104	10.672527	0.449577	-10.672527	-1.858568	3.180897	1.435071	-3.180897	-4.366683	0.345651	
104	-0.153177	-0.240453	0.563265	12.637736	0.492004	-12.637736	-1.078696	2.889901	0.493572	-2.889901	-3.956933	0.377512	
105	0.001378	-0.284650	0.622248	9.673539	0.000000	-9.673539	-0.816544	1.333073	0.214461	-1.333073	-1.675783	0.413919	
106	-0.208631	-0.683545	0.677865	3.823812	0.000000	-3.823812	-0.301249	0.020665	0.024362	-0.020665	3.432136	0.448270	
107	-0.565008	-1.183079	0.724762	0.434736	0.000000	-0.434736	1.244752	-0.140235	-0.749497	0.140235	13.161051	0.473176	
108	-0.714990	-1.291511	0.755750	-1.165823	0.000000	1.165823	3.147077	-0.480533	-1.773482	0.480533	25.059166	0.484445	
109	0.375221	-0.017574	0.767354	-5.518113	0.000000	5.518113	2.505963	-3.475560	-1.188369	3.475560	27.208291	0.479462	
110	2.469167	2.057292	0.754787	-11.955919	2.081205	11.955919	-2.631681	-7.097411	2.447620	7.097411	13.542436	0.454846	
111	3.810114	3.071869	0.710600	-15.452812	0.000000	15.452812	-8.773500	-6.864282	6.624092	6.864282	-4.527007	0.412167	
112	4.250246	3.133353	0.639058	-16.922916	3.043113	16.922916	-13.324988	-4.567647	9.390707	4.567647	-16.347324	0.363567	
113	4.631456	3.251097	0.579388	-19.045362	3.155375	19.045362	-17.340557	-3.866928	12.043124	3.866928	-22.023775	0.324138	
114	4.742907	3.273347	0.579254	-16.094414	2.637496	16.094414	-18.697076	-2.379749	13.873146	2.379749	-23.043015	0.301286	
115	4.227465	2.893771	0.615008	-3.767139	1.418951	3.767139	-15.516705	1.880317	13.157940	-1.880317	-19.840381	0.289575	
116	3.063058	2.054415	0.648180	8.550884	0.108211	-8.550884	-9.512859	5.301759	9.411346	-5.301759	-14.086839	0.274797	
117	1.192413	0.551291	0.690212	12.294689	-1.048284	-12.294689	-1.054315	5.826240	2.324608	-5.826240	-7.990734	0.251897	
118	-0.975285	-1.403092	0.748419	11.774522	-2.221129	-11.774522	8.798648	5.334314	-6.170513	-5.334314	-3.749657	0.233298	
119	-2.447446	-2.932299	0.798402	11.205243	-3.148477	-11.205243	15.116020	5.401202	-11.801124	-5.401202	-2.297884	0.232899	
120	-2.766812	-3.466890	0.813076	10.852533	-3.422253	-10.852533	15.258311	6.419397	-12.708147	-6.419397	-2.193417	0.251493	
121	-2.388670	-3.221707	0.789376	10.680185	-3.143356	-10.680185	11.790377	7.129601	-10.651400	-7.129601	-1.684168	0.284374	
122	-1.689376	-2.545262	0.744366	9.854021	-2.625045	-9.854021	7.600753	6.469142	-7.494691	-6.469142	-1.021167	0.331234	
123	-0.594012	-1.523424	0.694289	8.668671	-1.974388	-8.668671	3.287258	5.488584	-3.722476	-5.488584	-1.241008	0.389889	
124	0.812431	-0.170348	0.648488	7.482292	-0.985300	-7.482292	-1.384769	5.092855	0.328331	-5.092855	-2.335994	0.445339	
125	2.195813	1.438807	0.613595	5.650459	0.719953	-5.650459	-6.070219	4.671355	3.978375	-4.671355	-3.888720	0.476866	
126	3.478102	3.149265	0.585629	3.640443	3.066843	-3.640443	-9.826384	3.914799	6.791081	-3.914799	-6.109742	0.476729	
127	4.757560	4.663561	0.550698	2.933867	5.164230	-2.933867	-11.830086	3.865832	8.635880	-3.865832	-8.950496	0.453818	
128	5.901001	5.707654	0.502483	3.830714	6.236219	-3.830714	-12.259009	4.543471	9.458610	-4.543471	-11.301727	0.419689	
129	6.526003	6.167059	0.440008	4.839249	6.465729	-4.839249	-11.621512	5.195058	9.144163	-5.195058	-12.011430	0.383109	
130	6.264958	5.903073	0.361172	5.169471	6.256781	-5.169471	-9.785703	5.374549	7.724168	-5.374549	-10.737421	0.354279	
