kww	// User ID
16-2-2021	// Evaluation date
kevin-pilot_16_77.1	16-2-2021	11:43:36:803	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.790705	// height
85.991959	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
56	0.622239	0.315070	0.164719	0.776198	0.165841	-0.776198	-0.367697	0.469009	-0.057764	-0.469009	0.087347	0.346714	
57	0.818872	0.400551	0.171113	1.836507	0.133064	-1.836507	-0.346718	0.857847	-0.051917	-0.857847	0.131274	0.340276	
58	1.073863	0.552382	0.179162	2.726398	0.188364	-2.726398	-0.444129	0.731926	0.030343	-0.731926	0.076591	0.333028	
59	0.795517	0.364431	0.189141	3.492242	0.056490	-3.492242	-0.241143	1.018420	-0.068345	-1.018420	0.220553	0.326351	
60	0.190801	-0.041033	0.196074	4.454927	-0.303181	-4.454927	0.230101	1.651723	-0.280315	-1.651723	0.517997	0.317532	
61	-0.341506	-0.395571	0.196123	5.516095	-0.711507	-5.516095	0.675444	2.244345	-0.439203	-2.244345	0.760473	0.307770	
62	-0.726783	-0.659672	0.188657	6.425081	-1.081793	-6.425081	1.002112	2.844144	-0.543492	-2.844144	0.931157	0.302728	
63	-0.993689	-0.850810	0.175109	7.016721	-1.391139	-7.016721	1.226624	3.393898	-0.629982	-3.393898	1.051231	0.306495	
64	-1.180654	-0.961495	0.159135	7.137034	-1.516597	-7.137034	1.308104	3.662261	-0.672747	-3.662261	1.054916	0.319598	
65	-1.380614	-1.046039	0.145174	6.892336	-1.399580	-6.892336	1.225674	3.733632	-0.658126	-3.733632	0.954498	0.339963	
66	-1.558799	-1.125180	0.134654	6.826910	-1.203210	-6.826910	1.062122	3.987860	-0.628378	-3.987860	0.846264	0.364877	
67	-1.398765	-1.023284	0.126114	7.303766	-1.000688	-7.303766	0.853577	4.271023	-0.577119	-4.271023	0.711431	0.392810	
68	-0.673853	-0.579791	0.120032	7.887721	-0.681071	-7.887721	0.545041	3.957279	-0.447793	-3.957279	0.484168	0.422073	
69	0.203085	-0.042159	0.118634	7.930137	-0.339278	-7.930137	0.252002	3.198014	-0.301896	-3.198014	0.266729	0.449541	
70	0.613929	0.207931	0.121705	7.452958	-0.203722	-7.452958	0.139732	2.577165	-0.231873	-2.577165	0.174982	0.471897	
71	0.674691	0.263501	0.128497	6.690202	-0.183394	-6.690202	0.105626	1.943193	-0.181757	-1.943193	0.136494	0.486847	
72	0.847074	0.406389	0.140450	5.642784	-0.068271	-5.642784	0.030463	1.146533	-0.109918	-1.146533	0.077562	0.492341	
73	1.027011	0.533194	0.156982	4.495489	0.037073	-4.495489	0.000533	0.658604	-0.089104	-0.658604	0.067797	0.486562	
74	0.956408	0.483391	0.173977	3.546602	-0.009731	-3.546602	0.051546	0.616178	-0.127141	-0.616178	0.135019	0.471319	
75	0.816376	0.409419	0.188962	2.745920	-0.029197	-2.745920	0.073709	0.584955	-0.145428	-0.584955	0.186336	0.453318	
76	0.805701	0.432384	0.203464	1.897819	0.112420	-1.897819	0.020718	0.445124	-0.134180	-0.445124	0.195081	0.439893	
77	0.818068	0.442284	0.218923	1.237757	0.229512	-1.237757	-0.023935	0.580046	-0.156505	-0.580046	0.253384	0.434558	
78	0.757053	0.375314	0.234106	1.301710	0.211472	-1.301710	-0.001493	1.087889	-0.224056	-1.087889	0.390536	0.437290	
79	0.748541	0.340719	0.248491	2.095927	0.214528	-2.095927	0.021852	1.562164	-0.279831	-1.562164	0.512564	0.445937	
80	0.961492	0.443537	0.262997	2.979120	0.341259	-2.979120	-0.018520	1.865374	-0.302701	-1.865374	0.576055	0.455052	
81	1.390399	0.676096	0.277728	3.627063	0.538341	-3.627063	-0.090475	2.089167	-0.309233	-2.089167	0.596710	0.458392	
82	1.824358	0.944848	0.293751	4.110718	0.747989	-4.110718	-0.182551	1.853741	-0.272165	-1.853741	0.529308	0.456786	
83	1.967982	1.074891	0.312713	4.154771	0.900617	-4.154771	-0.293735	1.178124	-0.186288	-1.178124	0.393767	0.457689	
84	1.751645	0.957788	0.331865	3.701106	0.903857	-3.701106	-0.332072	1.030106	-0.126365	-1.030106	0.334717	0.464178	
85	1.493634	0.763130	0.345265	3.206046	0.798506	-3.206046	-0.269412	1.427802	-0.105759	-1.427802	0.375746	0.472640	
86	1.328015	0.639786	0.351950	2.488677	0.690503	-2.488677	-0.194909	1.316964	-0.063181	-1.316964	0.372015	0.481092	
87	0.745848	0.299438	0.355866	1.160639	0.355347	-1.160639	-0.082152	0.989201	0.005451	-0.989201	0.301987	0.490837	
88	-0.413362	-0.417008	0.357618	0.107148	-0.478214	-0.107148	0.159844	1.419877	0.089622	-1.419877	0.221702	0.499949	
89	-1.094781	-0.855713	0.357764	-0.170249	-1.215255	0.170249	0.381808	1.506212	0.200986	-1.506212	0.103940	0.502449	
90	-0.548616	-0.486153	0.363098	-1.124199	-0.967725	1.124199	0.362759	0.018728	0.267244	-0.018728	0.029890	0.496482	
91	0.208396	0.031264	0.376340	-2.979317	-0.184938	2.979317	0.153843	-1.419036	0.250796	1.419036	0.043448	0.488266	
92	0.177048	-0.002444	0.390742	-3.816265	0.093057	3.816265	-0.139992	-1.292476	0.294029	1.292476	0.007992	0.484092	
93	0.192499	-0.029405	0.399583	-2.784495	0.123820	2.784495	-0.509643	-0.718155	0.393770	0.718155	-0.026164	0.483701	
