kww	// User ID
16-2-2021	// Evaluation date
luke-pilot_12_59.5	3-2-2021	11:59:19:861	// Source file name and timestamp
238.095	// Sampling rate
4.000	// Data capture period

1.835409	// height
81.720696	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
76	0.911209	-0.278798	0.029305	-0.144480	0.000000	0.144480	0.000000	-0.056466	0.000000	0.056466	-0.023489	0.079584	
77	1.054154	-0.168414	0.029512	-0.034457	0.000000	0.034457	0.000000	0.013114	0.000000	-0.013114	-0.005393	0.085623	
78	1.194660	-0.040698	0.028649	-0.007688	0.000000	0.007688	0.000000	0.037059	0.000000	-0.037059	0.016125	0.088029	
79	1.172642	-0.057598	0.026728	-0.074193	0.000000	0.074193	0.000000	0.005835	0.000000	-0.005835	0.028689	0.085014	
80	1.031163	-0.199248	0.024728	-0.177457	0.000000	0.177457	0.000000	-0.045338	0.000000	0.045338	0.034482	0.077370	
81	1.014876	-0.225377	0.023287	-0.245877	0.000000	0.245877	0.000000	-0.075896	0.000000	0.075896	0.049474	0.069569	
82	1.183935	-0.072026	0.022068	-0.262703	0.000000	0.262703	0.000000	-0.075641	0.000000	0.075641	0.072662	0.063454	
83	1.353580	0.064862	0.021643	-0.247510	0.000000	0.247510	0.000000	-0.059197	0.000000	0.059197	0.087227	0.055840	
84	1.448720	0.118776	0.023044	-0.217418	0.000000	0.217418	0.000000	-0.038103	0.000000	0.038103	0.088514	0.045001	
85	1.560807	0.221182	0.025044	-0.169884	0.000000	0.169884	0.000000	-0.006433	0.000000	0.006433	0.080934	0.034965	
86	1.681203	0.370075	0.026647	-0.109741	0.000000	0.109741	-0.000000	0.025994	0.000000	-0.025994	0.067362	0.029445	
87	1.710796	0.420130	0.030644	-0.060565	0.000000	0.060565	-0.000000	0.041247	0.000000	-0.041247	0.052736	0.026846	
88	1.678595	0.378873	0.037954	-0.028732	0.000000	0.028732	-0.000000	0.049497	0.000000	-0.049497	0.040511	0.025066	
89	1.673923	0.371181	0.043579	-0.013583	0.000000	0.013583	-0.000000	0.055595	0.000000	-0.055595	0.023358	0.023802	
90	1.645562	0.361989	0.045296	-0.046145	0.000000	0.046145	-0.000000	0.035043	0.000000	-0.035043	0.002689	0.022469	
91	1.490253	0.217402	0.045716	-0.138867	0.000000	0.138867	-0.000000	-0.016587	0.000000	0.016587	-0.005446	0.020829	
92	1.250484	-0.022438	0.046329	-0.263908	0.000000	0.263908	0.000000	-0.076104	0.000000	0.076104	-0.000860	0.019904	
93	1.050821	-0.198407	0.046385	-0.404872	-0.000000	0.404872	0.000000	-0.136008	0.000000	0.136008	-0.001783	0.019916	
94	0.920975	-0.280893	0.045800	-0.554158	-0.000000	0.554158	0.000000	-0.198082	0.000000	0.198082	-0.009243	0.020438	
95	0.820329	-0.338920	0.045082	-0.685337	-0.000000	0.685337	0.000000	-0.253365	0.000000	0.253365	-0.015458	0.021701	
96	0.748252	-0.377234	0.044718	-0.769677	-0.000000	0.769677	0.000000	-0.290138	0.000000	0.290138	-0.020897	0.024709	
97	0.729986	-0.373464	0.045063	-0.794515	-0.000000	0.794515	0.000000	-0.306668	0.000000	0.306668	-0.025296	0.030494	
98	0.773554	-0.345430	0.046454	-0.766872	-0.000000	0.766872	0.000000	-0.310101	0.000000	0.310101	-0.027355	0.039682	
99	0.868973	-0.302681	0.048941	-0.695706	-0.000000	0.695706	0.000000	-0.295255	0.000000	0.295255	-0.029398	0.052901	
100	0.983260	-0.238894	0.052390	-0.590827	0.000000	0.590827	0.000000	-0.249659	0.000000	0.249659	-0.031965	0.069775	
101	1.094569	-0.158805	0.056685	-0.458204	0.000000	0.458204	0.000000	-0.170342	0.000000	0.170342	-0.032946	0.087914	
102	1.226577	-0.053003	0.060890	-0.278401	0.000000	0.278401	0.000000	-0.047662	0.000000	0.047662	-0.032975	0.104105	
103	1.378141	0.083743	0.063199	-0.031063	0.000000	0.031063	0.000000	0.129189	0.000000	-0.129189	-0.033160	0.115290	
104	1.478406	0.196092	0.062480	0.263609	0.000000	-0.263609	0.000000	0.325417	0.000000	-0.325417	-0.032481	0.118881	
105	1.477435	0.213416	0.059253	0.574654	0.000000	-0.574654	0.000000	0.474781	0.000000	-0.474781	-0.031220	0.114476	
106	1.393421	0.130999	0.054912	0.866685	0.000000	-0.866685	0.000000	0.538067	0.000000	-0.538067	-0.030972	0.104451	
107	1.274955	0.006865	0.050557	1.062738	0.000000	-1.062738	0.000000	0.517931	0.000000	-0.517931	-0.031971	0.091656	
108	1.209518	-0.076941	0.046881	1.115276	0.000000	-1.115276	0.000000	0.455623	0.000000	-0.455623	-0.034693	0.077646	
109	1.280349	-0.066315	0.044320	1.081882	0.000000	-1.081882	0.000000	0.409367	0.000000	-0.409367	-0.042418	0.063093	
110	1.459474	0.028877	0.042720	1.047779	0.000000	-1.047779	0.000000	0.403252	0.000000	-0.403252	-0.057309	0.049092	
111	1.645398	0.168017	0.041506	1.027346	0.000000	-1.027346	0.000000	0.410311	0.000000	-0.410311	-0.075356	0.037781	
112	1.776815	0.301434	0.040222	0.983069	0.000000	-0.983069	-0.000000	0.394402	0.000000	-0.394402	-0.091063	0.031979	
