kww	// User ID
12-2-2021	// Evaluation date
nate-pilot_21_62.7	12-2-2021	09:41:38:906	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
80	-1.306748	0.145978	205.180460	-3.989071	0.203857	3.989071	11.598527	-3.699430	-8.200160	3.699430	13.000948	
81	-1.419251	-0.335331	207.668228	-3.886729	-0.018259	3.886729	7.684538	-1.464157	-5.872292	1.464157	8.920720	
82	-1.600130	-0.780298	209.935750	-2.115389	-0.241276	2.115389	4.648453	0.331758	-4.147565	-0.331758	5.974423	
83	-1.807758	-1.087088	212.408758	0.652617	-0.432767	-0.652617	3.815154	0.495609	-3.500864	-0.495609	4.805569	
84	-2.120365	-1.373779	214.970874	2.287019	-0.595329	-2.287019	4.364362	-0.292352	-3.621539	0.292352	4.791017	
85	-2.466090	-1.609890	217.669930	2.324412	-0.709515	-2.324412	5.613731	-0.931257	-4.273460	0.931257	5.542831	
86	-2.656629	-1.666592	220.804027	1.964041	-0.765329	-1.964041	7.878744	-1.762268	-5.186784	1.762268	6.713837	
87	-2.686192	-1.625530	223.971715	1.500665	-0.780365	-1.500665	10.904036	-3.623988	-5.748780	3.623988	7.429051	
88	-2.805304	-1.768253	226.189510	0.090424	-0.804855	-0.090424	13.304746	-6.017052	-5.584111	6.017052	7.080491	
89	-3.162757	-2.191677	227.100354	-2.709718	-0.882523	2.709718	13.893099	-7.604366	-5.020631	7.604366	6.059728	
90	-3.597487	-2.665095	226.970074	-6.233533	-0.993304	6.233533	13.062919	-8.183435	-4.679581	8.183435	5.284227	
91	-3.933618	-2.990185	225.768084	-9.058807	-1.088671	9.058807	11.921704	-8.368425	-4.763291	8.368425	5.127651	
92	-4.155342	-3.188939	223.435462	-10.282961	-1.133886	10.282961	10.198523	-7.738662	-4.922398	7.738662	5.161814	
93	-4.218751	-3.280187	220.568855	-9.495427	-1.119226	9.495427	7.030110	-5.332138	-4.716794	5.332138	4.846432	
94	-3.937203	-3.142588	217.745834	-6.680829	-1.069380	6.680829	3.100053	-1.694799	-3.793013	1.694799	3.773253	
