kww	// User ID
11-2-2021	// Evaluation date
kyle-pilot2_02_31.9	10-2-2021	15:01:14:883	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.852879	// height
83.778452	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
69	-0.040927	0.478633	122.855131	-6.077341	0.350746	6.077341	-0.229615	-4.041579	0.913686	4.041579	3.552388	
70	-0.388612	0.187528	122.548650	-6.904027	0.288702	6.904027	-0.232794	-4.049981	0.844057	4.049981	4.132618	
71	-0.763138	-0.187386	121.716564	-7.140214	0.011524	7.140214	-0.052064	-3.502684	0.662912	3.502684	4.378660	
72	-0.928565	-0.438450	120.513316	-6.757941	-0.283015	6.757941	0.185816	-2.562857	0.438566	2.562857	3.978712	
73	-0.981284	-0.542552	119.111461	-6.270456	-0.418478	6.270456	0.293795	-2.047245	0.314060	2.047245	3.691181	
74	-0.837351	-0.341148	117.457069	-6.449274	-0.282454	6.449274	0.144558	-2.620442	0.490491	2.620442	3.934594	
75	-0.541637	0.016048	115.592749	-7.113157	-0.090392	7.113157	-0.038114	-3.562085	0.786198	3.562085	4.113827	
76	-0.597186	-0.076303	113.800542	-6.865662	-0.345593	6.865662	0.159552	-3.420762	0.687982	3.420762	3.867837	
77	-1.240599	-0.773462	112.144931	-5.100072	-1.047313	5.100072	0.625866	-2.280713	0.176481	2.280713	3.855762	
78	-1.983538	-1.485268	110.339832	-3.055035	-1.589374	3.055035	0.845266	-1.551247	-0.232707	1.551247	4.454871	
79	-2.249479	-1.707531	108.295653	-1.908515	-1.688955	1.908515	0.775686	-1.503332	-0.311346	1.503332	4.879131	
80	-2.086442	-1.592117	106.376928	-1.237154	-1.630939	1.237154	0.787334	-1.185636	-0.305189	1.185636	4.494145	
81	-1.953490	-1.538177	104.962260	-0.374051	-1.663157	0.374051	0.951911	-0.562469	-0.384357	0.562469	3.923646	
82	-1.921960	-1.514063	104.100686	0.287761	-1.700813	-0.287761	1.041911	-0.459943	-0.409635	0.459943	3.854851	
83	-1.677087	-1.242430	103.763219	0.272362	-1.551567	-0.272362	0.950414	-0.845340	-0.266869	0.845340	3.888963	
84	-1.414881	-0.987836	104.018590	-0.142317	-1.325204	0.142317	0.856151	-1.067303	-0.165913	1.067303	3.716747	
85	-1.595155	-1.157753	104.702149	-0.650353	-1.257517	0.650353	0.924976	-1.143505	-0.281442	1.143505	3.914446	
86	-1.863299	-1.346417	105.399960	-1.363487	-1.175427	1.363487	0.956305	-1.403311	-0.368867	1.403311	4.600580	
87	-1.706925	-1.122179	105.992335	-2.120124	-0.909939	2.120124	0.783725	-1.611653	-0.252829	1.611653	4.972982	
88	-1.500041	-0.931985	106.660577	-2.258457	-0.781092	2.258457	0.721607	-1.292442	-0.201277	1.292442	4.692875	
89	-1.601689	-1.071938	107.337919	-1.449479	-0.945924	1.449479	0.925988	-0.596720	-0.332999	0.596720	4.323821	
90	-1.611762	-1.079108	107.797008	-0.238642	-1.058846	0.238642	1.024955	-0.215285	-0.377279	0.215285	4.203771	
91	-1.278712	-0.739103	108.199938	0.690482	-0.958384	-0.690482	0.845803	-0.279950	-0.242373	0.279950	4.085033	
92	-0.963599	-0.425207	108.899560	1.094131	-0.823806	-1.094131	0.640944	-0.418577	-0.130436	0.418577	4.005360	
93	-0.934283	-0.368906	109.914177	0.976777	-0.738677	-0.976777	0.581841	-0.579751	-0.152854	0.579751	4.236724	
94	-1.002026	-0.424779	111.182092	0.594777	-0.691281	-0.594777	0.622850	-0.725566	-0.241347	0.725566	4.359090	
95	-0.981957	-0.470641	112.962195	0.274513	-0.715396	-0.274513	0.677496	-0.628462	-0.314055	0.628462	3.853532	
96	-1.084997	-0.655518	115.407593	0.134777	-0.879419	-0.134777	0.823892	-0.353971	-0.421922	0.353971	3.189922	
97	-1.434402	-1.007823	118.129996	0.109757	-1.152393	-0.109757	1.149938	-0.238777	-0.606442	0.238777	3.052089	
98	-1.560462	-1.084735	120.693843	-0.106576	-1.257250	0.106576	1.352208	-0.452719	-0.687525	0.452719	3.250841	
99	-1.184922	-0.691543	123.095453	-0.724321	-1.052134	0.724321	1.162539	-0.758752	-0.565675	0.758752	3.272334	
100	-0.837038	-0.350747	125.291548	-1.334411	-0.846883	1.334411	0.890514	-0.803196	-0.465049	0.803196	3.151896	
101	-0.893003	-0.375936	126.806757	-1.537889	-0.864668	1.537889	0.875481	-0.748199	-0.525609	0.748199	3.243543	
102	-1.036663	-0.467522	127.243330	-1.504852	-0.947754	1.504852	1.030962	-0.849668	-0.630227	0.849668	3.445093	
103	-1.054059	-0.478045	126.678316	-1.307038	-1.044760	1.307038	1.175638	-0.837711	-0.674127	0.837711	3.331618	
104	-1.148837	-0.600902	125.274430	-0.778361	-1.319161	0.778361	1.363904	-0.595052	-0.680780	0.595052	2.949739	
105	-1.444243	-0.902898	122.946346	-0.081121	-1.806970	0.081121	1.814686	-0.594128	-0.703654	0.594128	2.646377	
106	-1.703900	-1.144686	119.609260	0.360912	-2.298420	-0.360912	2.505862	-1.006296	-0.744471	1.006296	2.508678	
107	-1.617493	-1.050440	115.419551	0.412080	-2.538810	-0.412080	3.113713	-1.369646	-0.802401	1.369646	2.503701	
108	-1.278260	-0.735165	110.724617	0.346839	-2.552824	-0.346839	3.492786	-1.419516	-0.863156	1.419516	2.499691	
109	-0.956668	-0.460885	106.148136	0.338925	-2.503181	-0.338925	3.684048	-1.290161	-0.892882	1.290161	2.382280	
110	-0.491021	-0.030543	102.743302	0.139016	-2.177415	-0.139016	3.495569	-0.899531	-1.045645	0.899531	2.629650	
111	0.310338	0.754865	101.757760	-0.323581	-1.283247	0.323581	2.724276	-0.044761	-1.495816	0.044761	3.614102	
112	1.030400	1.442662	104.342294	-0.736703	-0.169363	0.736703	1.609382	0.789535	-1.979459	-0.789535	4.574785	
113	1.307285	1.686374	111.461485	-1.039146	0.634963	1.039146	0.529564	1.194766	-2.259311	-1.194766	5.036497	
114	1.373403	1.793350	123.289143	-1.438122	1.172910	1.438122	-0.298468	1.563904	-2.646114	-1.563904	5.770678	
115	1.414283	1.938990	138.789152	-2.057364	1.601379	2.057364	-0.647356	1.748521	-3.219408	-1.748521	6.881063	
116	1.428513	2.009548	156.299638	-2.783469	1.792225	2.783469	-0.529123	1.437711	-3.546533	-1.437711	7.415320	
117	1.432889	1.992788	174.003836	-3.261653	1.656242	3.261653	-0.221240	1.028603	-3.498313	-1.028603	7.207447	
118	1.188421	1.756774	190.127633	-3.148326	1.175842	3.148326	0.384215	0.604859	-3.393108	-0.604859	6.884616	
119	0.613100	1.270093	203.091357	-2.736854	0.481319	2.736854	1.242823	0.034505	-3.425068	-0.034505	6.753550	
120	0.019298	0.755159	211.350630	-2.832077	-0.085351	2.832077	1.582771	-0.318230	-3.402564	0.318230	6.503809	
121	-0.798552	-0.046546	213.817581	-3.398183	-0.727791	3.398183	1.453133	-0.609632	-2.943866	0.609632	5.377699	
122	-2.357643	-1.581658	210.772501	-3.146760	-2.156921	3.146760	2.195873	-1.475188	-1.969909	1.475188	3.006924	
123	-4.291126	-3.455943	204.021245	-1.430889	-4.208242	1.430889	4.100247	-2.659478	-0.792377	2.659478	-0.026895	
124	-5.875478	-5.031408	197.263663	0.687064	-6.073562	-0.687064	5.697024	-3.425417	0.487879	3.425417	-3.206626	
125	-7.075662	-6.301281	196.617132	2.257278	-7.627183	-2.257278	6.017704	-3.753222	1.914591	3.753222	-6.436985	
126	-7.903389	-7.187389	207.138097	3.021737	-8.875990	-3.021737	5.464867	-4.117137	2.998482	4.117137	-8.711976	
127	-7.885147	-7.189799	227.049740	2.513568	-9.236832	-2.513568	4.335709	-4.170701	3.228299	4.170701	-8.776896	
128	-6.912773	-6.284548	248.762717	0.983278	-8.503354	-0.983278	2.313660	-3.125164	2.936937	3.125164	-7.260343	
129	-5.627917	-5.108669	264.595742	-0.615121	-7.302902	0.615121	-0.172298	-1.533155	2.583065	1.533155	-5.495865	
130	-4.591749	-4.114590	269.903904	-1.722895	-6.247462	1.722895	-1.851288	-0.592236	2.091523	0.592236	-3.606822	
131	-3.670165	-3.163083	263.369416	-2.359722	-5.371063	2.359722	-2.445438	-0.131981	1.390386	0.131981	-1.508190	
132	-2.656286	-2.140873	246.167770	-2.769573	-4.527839	2.769573	-2.603598	0.442781	0.697041	-0.442781	0.156227	
133	-1.967997	-1.487590	220.868114	-3.103967	-4.021031	3.103967	-2.304471	0.352448	0.363300	-0.352448	0.838763	
134	-1.848622	-1.401766	190.858291	-3.372353	-4.003874	3.372353	-1.324095	-0.777597	0.441468	0.777597	0.931008	
135	-1.704528	-1.281626	160.438983	-3.660815	-3.775980	3.660815	-0.285135	-1.658664	0.433107	1.658664	1.063495	
136	-1.229202	-0.853001	134.164694	-4.048015	-3.039394	4.048015	0.051241	-1.600751	0.161987	1.600751	1.136171	
137	-0.996573	-0.691806	114.996447	-4.265603	-2.710649	4.265603	-0.152192	-1.349958	0.126184	1.349958	0.999954	
138	-1.332133	-1.068596	103.211601	-4.018669	-3.275219	4.018669	-0.132466	-1.564496	0.469821	1.564496	1.034126	
139	-1.779206	-1.503841	96.679831	-3.501086	-3.910548	3.501086	0.320502	-2.017005	0.732136	2.017005	1.348648	
140	-1.901232	-1.620153	92.083356	-3.145412	-3.943467	3.145412	0.666201	-2.204077	0.680920	2.204077	1.606484	
141	-1.835093	-1.587428	86.962272	-2.893145	-3.643301	2.893145	0.616371	-2.068492	0.495470	2.068492	1.722018	
142	-1.906254	-1.681436	80.736109	-2.432787	-3.327114	2.432787	0.567794	-1.953382	0.300960	1.953382	1.934053	
143	-2.066278	-1.814245	73.904776	-1.903589	-2.843966	1.903589	0.904872	-1.925393	-0.037794	1.925393	2.280322	
144	-2.055661	-1.755529	67.006759	-1.572821	-2.137148	1.572821	1.434404	-1.747891	-0.590955	1.747891	2.529614	
145	-1.937265	-1.619838	60.591555	-1.411265	-1.626346	1.411265	1.822123	-1.369732	-1.156599	1.369732	2.616248	
146	-1.956326	-1.665054	55.644793	-1.205774	-1.696437	1.205774	2.156436	-0.943833	-1.607510	0.943833	2.670529	
147	-2.064852	-1.813972	53.381470	-0.927667	-2.105855	0.927667	2.607223	-0.555011	-2.055343	0.555011	2.705579	
148	-2.072292	-1.857514	54.577837	-0.791562	-2.422811	0.791562	3.015844	-0.203361	-2.525043	0.203361	2.639366	
149	-2.007437	-1.830930	59.200347	-0.838926	-2.723333	0.838926	3.317731	0.077488	-2.922892	-0.077488	2.486048	
150	-2.010812	-1.857124	66.540623	-0.614934	-3.236808	0.614934	3.883533	0.248636	-3.304002	-0.248636	2.340704	
151	-2.123702	-1.938852	75.585272	0.476029	-3.811591	-0.476029	5.115331	0.267999	-3.795117	-0.267999	2.266383	
152	-2.242355	-1.976868	85.255663	2.365566	-4.135308	-2.365566	6.752470	0.117212	-4.269140	-0.117212	2.194381	
153	-2.208746	-1.852120	94.570870	4.102606	-4.086428	-4.102606	7.823869	-0.087858	-4.404375	0.087858	2.034586	
154	-2.093292	-1.646315	102.860448	4.774800	-3.877744	-4.774800	7.980766	-0.238931	-4.291056	0.238931	1.876885	
155	-2.114333	-1.562942	109.817137	4.402242	-3.710288	-4.402242	8.003382	-0.450999	-4.345278	0.450999	1.840703	
156	-2.122830	-1.452434	115.334751	3.438744	-3.138692	-3.438744	7.878158	-0.655190	-4.349240	0.655190	1.878976	
157	-1.767330	-0.993040	119.400859	2.088244	-1.721314	-2.088244	6.372045	-0.358895	-3.739822	0.358895	1.921850	
158	-1.222241	-0.396778	122.128307	0.978607	-0.197436	-0.978607	3.674727	0.409385	-2.820947	-0.409385	1.946276	
159	-0.957100	-0.129516	123.716897	0.589447	0.525719	-0.589447	1.713966	0.795196	-2.277859	-0.795196	1.910644	
160	-0.934019	-0.115848	124.312901	0.470075	0.758219	-0.470075	1.192470	0.620391	-2.031003	-0.620391	1.821150	
161	-0.825558	-0.027805	123.983547	0.217917	0.979196	-0.217917	1.019386	0.393192	-1.657210	-0.393192	1.682231	
162	-0.633470	0.111605	122.836012	-0.470529	0.936357	0.470529	0.478753	0.221362	-1.208054	-0.221362	1.500760	
163	-0.586469	0.103512	121.110255	-1.390349	0.504582	1.390349	0.007627	-0.033766	-0.991848	0.033766	1.379362	
164	-0.737329	-0.068523	119.077625	-2.038111	0.090983	2.038111	0.080820	-0.366740	-1.036368	0.366740	1.387019	
165	-0.869469	-0.208516	116.877195	-2.356533	-0.043971	2.356533	0.331986	-0.570924	-1.073739	0.570924	1.433623	
166	-0.957484	-0.312263	114.508072	-2.640482	-0.244340	2.640482	0.423963	-0.618532	-1.072562	0.618532	1.477957	
167	-1.388756	-0.749135	111.874946	-2.774328	-0.982140	2.774328	0.947893	-0.698655	-1.354649	0.698655	1.648629	
168	-2.200158	-1.547484	108.896011	-2.133776	-2.001575	2.133776	2.224763	-0.731386	-1.892613	0.731386	1.946686	
169	-2.848371	-2.183609	105.687601	-0.700422	-2.627192	0.700422	3.414687	-0.578563	-2.226150	0.578563	2.146699	
170	-3.142046	-2.469814	102.463133	0.585756	-2.803789	-0.585756	3.890386	-0.463729	-2.239321	0.463729	2.215273	
171	-3.338849	-2.640331	99.319702	1.277571	-2.849407	-1.277571	3.931064	-0.475783	-2.170762	0.475783	2.312085	
172	-3.365909	-2.624679	96.346822	1.599756	-2.655960	-1.599756	3.692325	-0.526103	-2.019029	0.526103	2.394563	
