kww	// User ID
12-2-2021	// Evaluation date
alex-pilot_05_38.6	11-2-2021	13:21:35:280	// Source file name and timestamp
238.095	// Sampling rate
4.332	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
143	2.458594	0.919520	386.331330	5.680653	1.060689	-5.680653	0.271711	2.908912	-0.056121	-2.908912	3.764712	
144	2.916988	1.245688	379.944954	5.626686	0.908607	-5.626686	1.942547	2.952546	-1.269668	-2.952546	5.627488	
145	3.616610	1.920866	373.154815	7.639352	0.480074	-7.639352	6.143179	0.524605	-4.591476	-0.524605	9.413299	
146	3.604657	1.956271	366.582636	8.314692	0.565197	-8.314692	7.172617	-1.436444	-4.888270	1.436444	9.926062	
147	2.845632	1.104556	361.231116	5.935319	1.286776	-5.935319	2.798999	-0.098678	-0.038735	0.098678	5.696516	
148	2.543255	0.671810	357.041267	4.315078	1.541859	-4.315078	0.472431	0.268484	2.926553	-0.268484	3.574173	
149	2.564314	0.727365	353.249331	4.448232	1.286283	-4.448232	1.405942	-2.298599	2.733648	2.298599	4.050659	
150	1.847987	0.098050	349.888164	3.384350	1.539973	-3.384350	-0.841713	-3.432894	5.383178	3.432894	1.209807	
151	0.692530	-1.059523	347.375689	2.916115	1.962277	-2.916115	-6.682988	-1.002724	10.807267	1.002724	-4.255442	
152	0.027587	-1.672771	345.334473	6.202215	1.553167	-6.202215	-10.650675	2.098760	13.595649	-2.098760	-7.157522	
153	-0.110043	-1.605647	342.924071	9.622322	0.633717	-9.622322	-10.679841	2.731283	12.575832	-2.731283	-6.717824	
154	-0.095857	-1.471042	339.761498	9.796190	0.236886	-9.796190	-9.997784	2.514068	11.227799	-2.514068	-5.745382	
155	0.094007	-1.453745	335.809336	9.396070	0.557049	-9.396070	-11.213630	4.882661	11.376991	-4.882661	-5.081535	
156	0.589478	-1.206674	330.799323	10.751470	0.936410	-10.751470	-12.057862	8.547847	10.863090	-8.547847	-3.276024	
157	1.134599	-0.695497	324.504669	12.460140	0.842373	-12.460140	-10.079961	9.111121	8.466332	-9.111121	-0.450335	
158	1.382726	-0.403836	317.377320	11.924352	0.624593	-11.924352	-7.355440	7.072365	6.747358	-7.072365	1.233652	
159	1.484346	-0.411105	310.153505	9.381861	0.896940	-9.381861	-5.702770	6.102192	6.787872	-6.102192	1.705974	
160	1.754927	-0.211893	0.000000	7.749948	1.532275	-7.749948	-3.242151	5.447541	5.834858	-5.447541	3.102255	
161	1.902734	0.121501	295.891384	7.726596	2.071117	-7.726596	-0.061870	2.737464	3.622615	-2.737464	4.692236	
162	1.505067	-0.080895	289.162534	7.332107	2.400381	-7.332107	0.156123	0.640661	3.632978	-0.640661	3.686500	
163	0.843163	-0.804288	283.246828	7.857877	2.402756	-7.857877	-3.524588	2.500055	6.507127	-2.500055	0.704645	
164	0.504521	-1.269596	277.969073	11.856703	1.931417	-11.856703	-7.187687	5.568873	8.632942	-5.568873	-0.957234	
165	0.672694	-1.035062	272.870876	15.905405	1.330749	-15.905405	-7.129181	4.896592	7.542310	-4.896592	0.233042	
166	0.984920	-0.558624	267.791466	15.029129	1.188556	-15.029129	-4.693372	1.802154	5.087136	-1.802154	2.371830	
