kww	// User ID
12-2-2021	// Evaluation date
kyle-pilot2_04_40.1	10-2-2021	16:08:09:566	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.701184	// height
54.982867	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
70	0.169996	0.114912	49.729950	0.954950	-0.954725	-0.954950	-0.411517	0.328352	0.564028	-0.328352	0.255734	
71	0.212713	0.134108	46.793515	0.210956	-0.867026	-0.210956	-0.551414	0.179950	0.557911	-0.179950	0.275831	
72	0.244287	0.113409	44.639945	-0.095464	-0.419875	0.095464	-0.883227	0.140033	0.650047	-0.140033	0.359221	
73	0.274229	0.076462	43.390820	0.103097	0.162655	-0.103097	-1.315394	0.230687	0.837256	-0.230687	0.524551	
74	0.408062	0.102920	43.338656	0.025126	0.751170	-0.025126	-1.640517	0.333454	0.934751	-0.333454	0.674589	
75	0.563348	0.163624	44.510047	-0.174728	1.162410	0.174728	-1.624173	0.354457	0.880204	-0.354457	0.738042	
76	0.530951	0.149904	46.671742	0.094941	1.039274	-0.094941	-1.357381	0.443558	0.833565	-0.443558	0.799325	
77	0.339846	0.070915	49.731640	0.746231	0.378849	-0.746231	-1.153448	0.818414	0.843149	-0.818414	0.905111	
78	0.200405	0.025727	53.798775	1.596593	-0.202756	-1.596593	-1.013469	1.267856	0.765933	-1.267856	0.917935	
79	0.092768	-0.008443	58.936254	2.511740	-0.359178	-2.511740	-0.750628	1.434896	0.606208	-1.434896	0.798830	
80	-0.139856	-0.120162	65.055594	3.289125	-0.491767	-3.289125	-0.453549	1.448691	0.534290	-1.448691	0.733375	
81	-0.348550	-0.232134	71.875777	3.740603	-0.718509	-3.740603	-0.323074	1.474728	0.557702	-1.474728	0.787709	
82	-0.238578	-0.193782	78.896367	3.544553	-0.498713	-3.544553	-0.332773	1.339326	0.548637	-1.339326	0.828281	
83	0.154122	-0.031542	85.616299	2.656941	0.351074	-2.656941	-0.378938	0.978025	0.534639	-0.978025	0.857805	
84	0.570727	0.130474	91.787117	1.586997	1.356683	-1.586997	-0.469403	0.616624	0.603154	-0.616624	0.960609	
85	0.853779	0.248882	97.440905	0.791557	2.076659	-0.791557	-0.602789	0.370537	0.677107	-0.370537	1.009133	
86	0.902625	0.290762	102.913105	0.339572	2.254425	-0.339572	-0.735282	0.192813	0.667022	-0.192813	0.894776	
87	0.690652	0.209438	108.742166	0.189195	1.784929	-0.189195	-0.879847	0.147966	0.631063	-0.147966	0.786404	
88	0.445628	0.090493	115.096595	0.314991	1.096126	-0.314991	-1.081435	0.314702	0.635610	-0.314702	0.792032	
89	0.408828	0.075276	121.459899	0.519239	0.852550	-0.519239	-1.299507	0.503140	0.628063	-0.503140	0.753721	
90	0.477757	0.129127	127.258343	0.557873	1.006927	-0.557873	-1.392387	0.509927	0.546377	-0.509927	0.579790	
91	0.456581	0.124778	132.339736	0.495799	1.005498	-0.495799	-1.315574	0.448805	0.462990	-0.448805	0.440017	
92	0.413534	0.077161	136.603029	0.589211	0.834862	-0.589211	-1.237704	0.529509	0.498056	-0.529509	0.490720	
93	0.484204	0.084914	139.911957	0.838927	0.951297	-0.838927	-1.321938	0.691206	0.635268	-0.691206	0.620138	
94	0.575355	0.127471	142.583164	0.866670	1.347017	-0.866670	-1.494068	0.724172	0.741616	-0.724172	0.657864	
95	0.451366	0.071315	145.421353	0.576680	1.392302	-0.576680	-1.548890	0.685413	0.726302	-0.685413	0.670817	
96	0.019165	-0.144661	149.054688	0.472701	0.657830	-0.472701	-1.396990	0.805654	0.578209	-0.805654	0.807674	
97	-0.565800	-0.429593	153.379272	0.540486	-0.479553	-0.540486	-1.123917	1.026581	0.308886	-1.026581	0.990222	
98	-1.059946	-0.655200	157.789887	-0.445791	-1.249168	0.445791	-0.847675	1.033987	-0.022636	-1.033987	1.035470	
99	-1.270936	-0.743020	161.733629	-2.971592	-1.292677	2.971592	-0.654953	0.801123	-0.248890	-0.801123	0.968580	
100	-1.099518	-0.653075	164.690844	-5.403107	-0.802506	5.403107	-0.672203	0.485123	-0.168528	-0.485123	0.944069	
101	-0.626272	-0.408126	165.964820	-6.020700	-0.156885	6.020700	-0.915955	0.078138	0.190692	-0.078138	0.976961	
102	-0.115645	-0.120933	165.115072	-4.647695	0.304057	4.647695	-1.106723	-0.263037	0.517711	0.263037	0.937834	
103	0.169002	0.066876	162.468619	-1.840129	0.332155	1.840129	-0.968703	-0.217016	0.577673	0.217016	0.793534	
104	0.184180	0.101399	158.780714	1.620390	-0.091506	-1.620390	-0.628464	0.218658	0.452291	-0.218658	0.702994	
105	0.160337	0.088266	154.413431	4.505415	-0.571491	-4.505415	-0.454916	0.639391	0.377776	-0.639391	0.779710	
106	0.330843	0.173159	149.163310	5.923926	-0.601034	-5.923926	-0.559433	0.692610	0.439912	-0.692610	0.896957	
107	0.557434	0.302248	143.032261	5.870237	-0.324267	-5.870237	-0.685232	0.543019	0.493149	-0.543019	0.891789	
108	0.512574	0.281686	136.714475	4.793965	-0.368759	-4.793965	-0.636505	0.593926	0.422650	-0.593926	0.843385	
109	0.273351	0.132645	130.925203	3.299410	-0.726560	-3.299410	-0.548751	0.771226	0.338865	-0.771226	0.906294	
110	0.229587	0.083390	125.774689	1.807622	-0.750830	-1.807622	-0.612471	0.738886	0.368467	-0.738886	1.002401	
111	0.383776	0.158876	121.066967	0.411267	-0.343362	-0.411267	-0.757284	0.463057	0.438910	-0.463057	0.963782	
112	0.352773	0.140435	116.599765	-0.753754	-0.118828	0.753754	-0.786014	0.065157	0.427674	-0.065157	0.840447	
113	0.060459	-0.031363	112.105618	-1.390360	-0.360744	1.390360	-0.678453	-0.356675	0.364536	0.356675	0.806117	
114	-0.172997	-0.169481	107.422493	-1.538756	-0.689499	1.538756	-0.580077	-0.686904	0.333230	0.686904	0.862986	
115	-0.223478	-0.189659	102.703657	-1.516054	-0.787968	1.516054	-0.535571	-0.813300	0.308044	0.813300	0.874126	
116	-0.269496	-0.206281	98.291094	-1.350704	-0.760095	1.350704	-0.462550	-0.756017	0.247577	0.756017	0.825070	
117	-0.286046	-0.226517	94.533473	-0.887184	-0.617406	0.887184	-0.363128	-0.614535	0.203164	0.614535	0.821868	
118	0.007722	-0.082457	91.576490	-0.269323	-0.096748	0.269323	-0.306454	-0.383306	0.228900	0.383306	0.843046	
119	0.580745	0.228981	89.199843	0.103354	0.728444	-0.103354	-0.300624	-0.142296	0.320624	0.142296	0.767909	
120	0.994694	0.455567	87.021757	-0.327208	1.326168	0.327208	-0.311675	-0.180404	0.436002	0.180404	0.665570	
121	1.038742	0.466645	84.727395	-1.902310	1.450762	1.902310	-0.321535	-0.610835	0.532973	0.610835	0.733364	
122	0.934158	0.398522	82.123294	-3.966491	1.335387	3.966491	-0.345294	-1.254647	0.610743	1.254647	0.944053	
123	0.801566	0.330369	79.209152	-5.351506	1.161090	5.351506	-0.353627	-1.850728	0.640987	1.850728	1.095291	
124	0.470715	0.153323	76.201611	-5.247472	0.783948	5.247472	-0.230184	-1.910983	0.505361	1.910983	1.169860	
125	-0.083435	-0.154622	73.485885	-3.226785	0.053095	3.226785	0.001789	-1.104367	0.169014	1.104367	1.271687	
126	-0.547273	-0.401039	71.433583	-0.121444	-0.742965	0.121444	0.126916	0.009625	-0.180367	-0.009625	1.303069	
127	-0.638815	-0.419311	70.181767	1.941886	-1.068291	-1.941886	0.070993	0.584170	-0.320657	-0.584170	1.105072	
128	-0.408759	-0.254082	69.641197	2.260745	-0.826305	-2.260745	-0.036835	0.591392	-0.243891	-0.591392	0.787024	
129	-0.060271	-0.031047	69.534416	2.070967	-0.360522	-2.070967	-0.156260	0.457348	-0.086607	-0.457348	0.570623	
130	0.303474	0.196762	69.424424	1.976830	0.075279	-1.976830	-0.319684	0.356132	0.063356	-0.356132	0.475616	
131	0.589792	0.373192	68.966234	1.698495	0.385738	-1.698495	-0.435065	0.338504	0.158015	-0.338504	0.422933	
132	0.607762	0.374188	68.104810	1.281856	0.464037	-1.281856	-0.343757	0.390562	0.095420	-0.390562	0.473476	
133	0.314706	0.179414	66.990134	0.937656	0.333085	-0.937656	-0.009244	0.329204	-0.158785	-0.329204	0.689129	
134	-0.028268	-0.035456	65.855925	0.358477	0.232380	-0.358477	0.394345	0.014044	-0.415847	-0.014044	0.916308	
135	-0.190190	-0.127617	64.903300	-0.699573	0.323855	0.699573	0.645329	-0.414060	-0.489153	0.414060	0.978812	
136	-0.216211	-0.138241	64.193546	-1.676179	0.498100	1.676179	0.732860	-0.705308	-0.453888	0.705308	0.945235	
137	-0.208814	-0.132632	63.719883	-2.046449	0.606148	2.046449	0.781260	-0.815300	-0.441839	0.815300	0.962447	
138	-0.157588	-0.094209	63.571261	-2.001885	0.645201	2.001885	0.820663	-0.834684	-0.433254	0.834684	0.987865	
139	-0.035442	-0.007902	63.849781	-1.828877	0.651647	1.828877	0.788689	-0.847018	-0.363748	0.847018	0.906173	
140	0.130999	0.097894	64.418584	-1.626668	0.625173	1.626668	0.680861	-0.879037	-0.262073	0.879037	0.770071	
141	0.259171	0.171476	64.976967	-1.308200	0.552976	1.308200	0.621533	-0.938680	-0.225290	0.938680	0.736319	
142	0.252141	0.160941	65.342031	-0.814234	0.390469	0.814234	0.735063	-1.012117	-0.307108	1.012117	0.853939	
143	0.106357	0.064852	65.456271	-0.274032	0.132195	0.274032	0.980387	-1.003528	-0.467028	1.003528	1.027207	
144	-0.110259	-0.079693	65.280455	0.186845	-0.162909	-0.186845	1.228217	-0.847732	-0.654671	0.847732	1.185892	
145	-0.360422	-0.248224	64.811973	0.543565	-0.461985	-0.543565	1.419288	-0.580018	-0.878680	0.580018	1.357266	
146	-0.580085	-0.391320	64.195112	0.642028	-0.701728	-0.642028	1.511169	-0.330007	-1.097807	0.330007	1.498818	
147	-0.661381	-0.436539	63.809316	0.256022	-0.752022	-0.256022	1.410603	-0.230002	-1.158260	0.230002	1.448625	
148	-0.585097	-0.379874	64.026898	-0.454186	-0.596019	0.454186	1.099377	-0.240957	-0.978280	0.240957	1.154980	
149	-0.427271	-0.279154	64.805231	-1.030068	-0.375464	1.030068	0.715660	-0.202878	-0.705845	0.202878	0.808434	
150	-0.262298	-0.179887	65.735276	-1.264137	-0.207973	1.264137	0.479624	-0.189079	-0.569435	0.189079	0.659854	
151	-0.152016	-0.112686	66.526389	-1.339009	-0.119878	1.339009	0.542433	-0.407724	-0.620545	0.407724	0.733931	
152	-0.144387	-0.105178	67.171358	-1.583170	-0.101706	1.583170	0.802093	-0.746121	-0.717334	0.746121	0.821531	
153	-0.205471	-0.141199	67.621463	-1.969064	-0.119776	1.969064	0.988273	-0.921788	-0.762747	0.921788	0.821858	
154	-0.202634	-0.138571	67.707216	-2.051360	-0.110900	2.051360	0.968655	-0.871591	-0.797372	0.871591	0.830802	
155	-0.038729	-0.028866	67.446306	-1.706867	-0.025779	1.706867	0.749838	-0.698230	-0.808349	0.698230	0.862968	
156	0.221026	0.147438	67.065000	-1.182328	0.102050	1.182328	0.340820	-0.335447	-0.701101	0.335447	0.798458	
157	0.429590	0.285516	66.583816	-0.656348	0.189180	0.656348	-0.166910	0.196106	-0.519296	-0.196106	0.648884	
158	0.517241	0.337070	65.634852	-0.293804	0.210194	0.293804	-0.505190	0.581874	-0.449895	-0.581874	0.578794	
159	0.520335	0.337271	63.907748	-0.213881	0.207188	0.213881	-0.441281	0.603542	-0.520587	-0.603542	0.608767	
160	0.503261	0.333575	61.523214	-0.326288	0.208096	0.326288	-0.103949	0.414270	-0.549603	-0.414270	0.590201	
161	0.484270	0.328969	58.833476	-0.454501	0.200364	0.454501	0.151724	0.295253	-0.468015	-0.295253	0.485834	
162	0.449027	0.310098	56.249708	-0.431057	0.174747	0.431057	0.234136	0.292981	-0.399180	-0.292981	0.398298	
163	0.428323	0.302520	54.195988	-0.213949	0.151694	0.213949	0.267497	0.248024	-0.362906	-0.248024	0.343051	
164	0.464432	0.330095	52.873902	0.119501	0.165872	-0.119501	0.185373	0.164771	-0.251851	-0.164771	0.242283	
165	0.498011	0.342242	52.201093	0.408005	0.218268	-0.408005	-0.112238	0.131676	-0.112321	-0.131676	0.126296	
166	0.460100	0.296092	51.976152	0.244980	0.255568	-0.244980	-0.415572	0.053260	-0.088289	-0.053260	0.097558	
167	0.399066	0.238678	51.921543	-0.344485	0.245302	0.344485	-0.520179	-0.053493	-0.134978	0.053493	0.123533	
168	0.289989	0.161366	51.762567	-0.728224	0.197197	0.728224	-0.520396	-0.026696	-0.165158	0.026696	0.138582	
169	-0.027810	-0.042866	51.392459	-0.756392	0.077743	0.756392	-0.301033	0.172798	-0.351767	-0.172798	0.258609	
170	-0.492801	-0.333091	50.762875	-0.313768	-0.140140	0.313768	0.535884	0.391444	-0.816684	-0.391444	0.566596	
171	-0.781488	-0.498698	49.601621	0.458795	-0.359031	-0.458795	1.808843	0.206410	-1.259189	-0.206410	0.866548	
172	-0.759738	-0.465321	47.489331	-0.002163	-0.443759	0.002163	2.698307	-0.598840	-1.383729	0.598840	0.959630	
173	-0.597095	-0.357863	44.226431	-2.112027	-0.386350	2.112027	2.732494	-1.565766	-1.297890	1.565766	0.904594	
174	-0.439518	-0.267529	39.792839	-3.838968	-0.278163	3.838968	2.176495	-2.138520	-1.167166	2.138520	0.800645	
175	-0.292213	-0.184712	34.054477	-4.122824	-0.179153	4.122824	1.493287	-2.130786	-0.971013	2.130786	0.642508	
176	-0.168789	-0.117624	26.817719	-3.362939	-0.099198	3.362939	0.868927	-1.659382	-0.726779	1.659382	0.460102	
177	-0.115711	-0.101693	18.115170	-2.225307	-0.048830	2.225307	0.352946	-1.114930	-0.588091	1.114930	0.352213	
178	-0.111954	-0.117780	9.265392	-1.524649	-0.047963	1.524649	0.134628	-0.848413	-0.647369	0.848413	0.362742	
179	-0.078025	-0.107636	11.953400	-1.453050	-0.093083	1.453050	0.333273	-0.823753	-0.821706	0.823753	0.428869	
180	0.020387	-0.054508	27.247685	-1.528455	-0.143147	1.528455	0.678391	-0.826677	-0.957028	0.826677	0.464773	
181	0.156473	0.018386	47.155126	-1.648174	0.000000	1.648174	0.832998	-0.787491	-0.979615	0.787491	0.447191	
182	0.336713	0.121059	70.452067	-1.678202	0.000000	1.678202	0.825150	-0.752121	-0.889667	0.752121	0.392833	
183	0.618587	0.299665	96.449697	-1.136404	0.000000	1.136404	0.778057	-0.727154	-0.659513	0.727154	0.296046	
184	0.973186	0.537225	124.214092	-0.179210	0.000000	0.179210	0.622612	-0.615882	-0.289166	0.615882	0.145194	
185	1.252341	0.731577	152.285511	0.419531	0.000000	-0.419531	0.349455	-0.280451	0.071827	0.280451	-0.016646	
186	1.318285	0.786872	179.079145	0.461098	0.000000	-0.461098	0.198613	0.205633	0.203011	-0.205633	-0.090038	
187	1.105956	0.662817	203.674972	0.343274	0.000000	-0.343274	0.436749	0.530221	0.023591	-0.530221	-0.001158	
188	0.679712	0.402773	225.990390	0.445430	0.000000	-0.445430	0.992660	0.542435	-0.315593	-0.542435	0.199264	
189	0.156241	0.075857	246.170456	0.943976	0.000000	-0.943976	1.519568	0.418310	-0.664107	-0.418310	0.426495	
190	-0.489863	-0.336526	263.931753	1.742001	0.000000	-1.742001	1.885014	0.378065	-1.080849	-0.378065	0.702644	
191	-1.162060	-0.770255	278.967850	2.708106	0.000000	-2.708106	2.199764	0.493340	-1.553451	-0.493340	0.983801	
192	-1.440613	-0.956453	292.061537	3.703086	0.000000	-3.703086	2.359796	0.772226	-1.773213	-0.772226	1.063299	
193	-1.180465	-0.797926	304.593430	4.369221	0.000000	-4.369221	2.105987	1.117260	-1.552608	-1.117260	0.885339	
194	-0.799713	-0.557027	316.884693	4.473799	0.000000	-4.473799	1.594484	1.354272	-1.196577	-1.354272	0.670184	
195	-0.591311	-0.424038	328.629316	4.275971	0.000000	-4.275971	1.289369	1.361993	-1.024045	-1.361993	0.580497	
196	-0.376632	-0.286418	340.522796	4.048741	0.000000	-4.048741	1.267575	1.102986	-0.912664	-1.102986	0.524826	
197	-0.024601	-0.059577	353.487133	3.608986	0.000000	-3.608986	1.229668	0.758702	-0.711638	-0.758702	0.400344	
198	0.253194	0.113088	367.016984	2.819143	0.000000	-2.819143	1.152771	0.564178	-0.623505	-0.564178	0.314926	
199	0.256726	0.100740	380.000326	2.024661	0.000000	-2.024661	1.312000	0.445219	-0.809228	-0.445219	0.367065	
200	0.124279	0.005569	392.100803	1.570658	-0.054779	-1.570658	1.646507	0.328570	-1.053675	-0.328570	0.426554	
201	0.051103	-0.044881	403.156002	1.489224	-0.054947	-1.489224	1.764409	0.456673	-1.142449	-0.456673	0.378653	
202	-0.090378	-0.146367	412.425188	1.610784	-0.028728	-1.610784	1.550658	0.809398	-1.163247	-0.809398	0.357341	
203	-0.411178	-0.360863	419.400364	1.725132	0.051198	-1.725132	1.172874	1.008087	-1.153225	-1.008087	0.459806	
204	-0.653235	-0.494459	424.621294	1.780792	0.135504	-1.780792	0.672602	0.949700	-0.921097	-0.949700	0.524711	
205	-0.552559	-0.394049	429.021927	1.906874	0.156245	-1.906874	0.094581	0.942057	-0.502265	-0.942057	0.399611	
206	-0.133684	-0.128335	433.195243	2.031147	0.120915	-2.031147	-0.327963	1.129142	-0.236419	-1.129142	0.126546	
207	0.423536	0.195243	437.682408	1.838285	0.076849	-1.838285	-0.592752	1.273278	-0.139095	-1.273278	-0.252178	
208	0.867531	0.475474	442.829765	1.336350	0.062311	-1.336350	-0.918800	1.209197	0.060017	-1.209197	-0.662679	
209	0.922692	0.530214	447.924957	0.811353	0.108144	-0.811353	-1.087922	1.042023	0.213996	-1.042023	-0.818575	
210	0.534175	0.264680	451.567052	0.420858	0.149945	-0.420858	-0.585026	0.712323	-0.062725	-0.712323	-0.517528	
211	-0.009091	-0.131464	453.145084	0.178347	0.064722	-0.178347	0.538360	0.116630	-0.649993	-0.116630	-0.021500	
212	-0.450262	-0.430728	453.005441	0.076968	-0.101519	-0.076968	1.596037	-0.384858	-1.063341	0.384858	0.337878	
213	-0.848219	-0.657159	451.258138	0.058261	-0.177186	-0.058261	2.136064	-0.493698	-1.180412	0.493698	0.698811	
