kww	// User ID
9-7-2021	// Evaluation date
p34_warmup_017_638	9-7-2021	10:47:01:074	// Source file name and timestamp
357.143	// Sampling rate
0.683	// Data capture period

1.680000	// height
62.100000	// mass


Sample #	elb_var	shldrIR	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldIR	
64	2.352943	-0.836125	-64.881350	-2.970094	64.881350	-1.365142	-27.374068	5.215398	27.374068	32.249107	2.307656	4.372339	-45.808594	-26.441904	
65	2.346344	-0.833306	-64.772908	-3.654709	64.772908	-0.875000	-25.739483	3.545434	25.739483	33.352704	2.365271	4.452312	-45.051062	-25.046388	
66	2.328946	-0.837654	-64.180607	-4.434884	64.180607	-0.059738	-24.008568	1.755757	24.008568	34.467514	2.422811	4.531776	-44.281180	-23.680392	
67	2.298991	-0.851652	-63.047036	-5.324828	63.047036	1.120177	-22.203075	-0.144481	22.203075	35.575808	2.480422	4.610073	-43.500240	-22.347277	
68	2.253173	-0.876858	-61.331100	-6.334961	61.331100	2.701028	-20.329003	-2.140674	20.329003	36.627910	2.538090	4.686817	-42.709352	-21.049361	
69	2.190936	-0.914457	-58.952729	-7.480915	58.952729	4.709234	-18.395369	-4.203203	18.395369	37.581856	2.595590	4.761893	-41.909259	-19.787654	
70	2.114720	-0.965325	-55.862459	-8.782139	55.862459	7.169835	-16.440624	-6.299381	16.440624	38.427803	2.652632	4.835379	-41.100178	-18.561695	
71	2.029482	-1.025528	-52.119945	-10.251775	52.119945	10.083105	-14.525874	-8.396021	14.525874	39.175327	2.709053	4.907536	-40.281662	-17.369557	
72	1.941444	-1.086985	-47.839925	-11.899669	47.839925	13.417536	-12.716336	-10.457583	12.716336	39.832068	2.764895	4.978700	-39.452728	-16.208161	
73	1.856383	-1.142822	-43.112822	-13.739156	43.112822	17.133664	-11.084340	-12.450064	11.084340	40.401038	2.820350	5.049334	-38.612220	-15.073728	
74	1.777034	-1.192275	-37.934329	-15.797696	37.934329	21.230074	-9.669212	-14.355074	9.669212	40.890691	2.875662	5.120181	-37.759049	-13.962035	
75	1.700076	-1.240460	-32.200616	-18.111360	32.200616	25.754746	-8.444895	-16.169898	8.444895	41.289067	2.931003	5.192029	-36.892054	-12.868410	
76	1.618985	-1.287332	-25.892934	-20.672415	25.892934	30.674552	-7.397029	-17.854052	7.397029	41.491444	2.986198	5.265364	-36.009647	-11.787595	
77	1.532428	-1.321717	-19.204166	-23.422094	19.204166	35.799523	-6.586165	-19.311357	6.586165	41.341140	3.040467	5.340293	-35.109767	-10.713872	
78	1.451171	-1.325020	-12.504076	-26.308939	12.504076	40.864017	-6.160329	-20.446973	6.160329	40.774481	3.092751	5.416540	-34.190373	-9.641583	
79	1.392556	-1.274823	-6.278813	-29.284804	6.278813	45.548788	-6.311580	-21.175453	6.311580	39.790562	3.142358	5.493493	-33.250274	-8.565951	
80	1.364600	-1.163792	-0.766074	-32.346231	0.766074	49.683451	-7.095127	-21.445323	7.095127	38.391107	3.188926	5.570419	-32.289962	-7.484038	
81	1.361149	-1.015990	4.346854	-35.649624	-4.346854	53.570254	-8.366209	-21.333249	8.366209	36.684013	3.232132	5.646635	-31.311648	-6.395035	
82	1.372739	-0.863529	9.489693	-39.420005	-9.489693	57.723604	-9.986671	-20.992499	9.986671	34.846914	3.271871	5.721463	-30.318093	-5.299170	
