"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","max_elb_var","max_shldr_ir"
"181","p05",24,197,72,"L",73.6,32.6,33,69.8,54.929029,58.344398
"182","p05",24,197,72,"L",73.6,32.6,34,68,52.541196,57.734363
"183","p05",24,197,72,"L",73.6,32.6,35,68.6,53.270871,56.245587
"184","p05",24,197,72,"L",73.6,32.6,36,69.7,55.338324,58.889275
"185","p05",24,197,72,"L",73.6,32.6,37,71.3,58.233763,60.028318
"186","p05",24,197,72,"L",73.6,32.6,38,71.8,58.790379,62.292005
"187","p05",24,197,72,"L",73.6,32.6,39,73.1,60.905845,61.905865
"188","p05",24,197,72,"L",73.6,32.6,40,72.4,60.231331,61.112306
"189","p05",24,197,72,"L",73.6,32.6,41,72.8,59.298055,60.910186
"190","p05",24,197,72,"L",73.6,32.6,42,73.6,62.780408,62.785688
"191","p06",24,210.2,74,"R",72.4,38.8,1,38.8,15.664029,22.214877
"192","p06",24,210.2,74,"R",72.4,38.8,2,38.9,16.802527,21.794453
"193","p06",24,210.2,74,"R",72.4,38.8,3,41.6,18.27405,23.412866
"194","p06",24,210.2,74,"R",72.4,38.8,4,41.9,22.183751,24.736071
"195","p06",24,210.2,74,"R",72.4,38.8,5,42.9,18.382012,26.223095
"196","p06",24,210.2,74,"R",72.4,38.8,6,44.6,20.553742,29.108267
"197","p06",24,210.2,74,"R",72.4,38.8,7,45.1,24.750646,28.77965
"198","p06",24,210.2,74,"R",72.4,38.8,8,45.5,20.023268,27.795129
"199","p06",24,210.2,74,"R",72.4,38.8,9,46.6,21.176133,30.380926
"200","p06",24,210.2,74,"R",72.4,38.8,10,47.5,21.875883,29.943999
"201","p06",24,210.2,74,"R",72.4,38.8,11,49.9,25.176685,33.855322
"202","p06",24,210.2,74,"R",72.4,38.8,12,50,24.753649,34.304216
"203","p06",24,210.2,74,"R",72.4,38.8,13,51.6,26.242278,38.871792
"204","p06",24,210.2,74,"R",72.4,38.8,14,54.5,28.477583,44.684582
"205","p06",24,210.2,74,"R",72.4,38.8,15,52.9,30.519665,39.872215
