kww	// User ID
5-7-2021	// Evaluation date
p12_warmup_011_531	5-7-2021	11:09:44:203	// Source file name and timestamp
238.095	// Sampling rate
0.842	// Data capture period

1.750000	// height
83.200000	// mass


Sample #	var_mom	ir_mom	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldrIR	
61	4.461871	-1.435103	6.254015	-15.199772	-6.254015	66.597676	-33.041099	-23.139215	33.041099	58.110841	2.679102	2.559198	-51.130024	-47.827360	
62	4.250028	-1.599538	6.066571	-16.373596	-6.066571	70.156313	-34.970193	-23.925235	34.970193	58.282204	2.613290	2.673743	-50.926725	-48.638972	
63	3.987473	-1.790164	5.674187	-17.245786	-5.674187	73.169688	-36.459126	-24.420565	36.459126	57.819914	2.537039	2.784044	-50.727715	-49.615424	
64	3.672540	-1.999307	5.260778	-17.804467	-5.260778	75.687293	-37.405507	-24.646805	37.405507	56.663820	2.453157	2.888033	-50.519236	-50.754484	
65	3.319416	-2.207069	4.888848	-18.051162	-4.888848	77.683407	-37.768797	-24.641623	37.768797	54.864964	2.366722	2.984158	-50.287165	-52.055876	
66	2.952040	-2.384343	4.551914	-17.977116	-4.551914	79.031754	-37.526683	-24.458495	37.526683	52.590199	2.283849	3.071772	-50.018302	-53.523479	
67	2.592917	-2.500315	4.399389	-17.528698	-4.399389	79.462354	-36.599467	-24.144372	36.599467	50.046999	2.210267	3.150641	-49.702143	-55.168268	
68	2.258383	-2.522675	4.809589	-16.587076	-4.809589	78.495542	-34.816678	-23.685675	34.816678	47.368607	2.150709	3.220426	-49.333457	-57.013226	
69	1.968039	-2.446258	5.892131	-15.184217	-5.892131	75.953274	-32.258159	-23.051108	32.258159	44.711199	2.108805	3.280774	-48.915147	-59.099872	
70	1.735253	-2.348176	6.971752	-13.768928	-6.971752	72.828169	-29.657665	-22.385054	29.657665	42.447563	2.086771	3.332038	-48.457854	-61.489730	
71	1.544565	-2.348224	7.196513	-12.932150	-7.196513	70.750853	-27.910611	-21.999820	27.910611	40.981509	2.085061	3.376101	-47.973248	-64.256364	
72	1.366997	-2.500525	6.321835	-12.933375	-6.321835	70.537546	-27.298977	-22.116876	27.298977	40.443503	2.102070	3.415961	-47.466071	-67.475172	
73	1.188777	-2.785281	4.406516	-13.750756	-4.406516	72.101341	-27.620100	-22.810613	27.620100	40.777498	2.134474	3.454328	-46.932033	-71.219255	
74	1.004211	-3.179201	1.384363	-15.379945	-1.384363	75.347871	-28.648590	-24.141320	28.648590	41.931496	2.178699	3.493030	-46.360293	-75.558575	
75	0.801448	-3.678581	-2.739011	-17.889281	2.739011	80.511748	-30.208207	-26.216562	30.208207	43.894190	2.232420	3.533473	-45.735230	-80.553480	
76	0.579230	-4.255425	-7.638953	-21.218402	7.638953	87.581833	-31.988786	-29.147292	31.988786	46.677500	2.294942	3.576978	-45.036716	-86.239066	
77	0.357276	-4.834655	-12.744982	-25.004025	12.744982	95.726006	-33.395788	-32.921710	33.395788	50.206152	2.366700	3.624412	-44.242006	-92.602995	
78	0.155741	-5.345740	-17.583782	-28.771064	17.583782	103.786316	-33.768955	-37.355542	33.768955	54.262958	2.448456	3.675568	-43.330180	-99.559957	
79	-0.010823	-5.763648	-22.109319	-32.257673	22.109319	111.085322	-32.774304	-42.228564	32.774304	58.660410	2.540617	3.729280	-42.285592	-106.933145	
80	-0.126471	-6.090915	-26.578125	-35.396395	26.578125	117.412781	-30.395948	-47.387307	30.395948	63.331095	2.643034	3.784188	-41.097832	-114.462016	
81	-0.181983	-6.329309	-31.180192	-38.065822	31.180192	122.520553	-26.626590	-52.649834	26.626590	68.141175	2.755143	3.839057	-39.759883	-121.844426	
82	-0.180606	-6.467950	-35.943175	-39.997504	35.943175	125.864570	-21.376233	-57.674874	21.376233	72.716427	2.876001	3.892443	-38.266789	-128.799895	
83	-0.134408	-6.492604	-40.816312	-40.904848	40.816312	126.838299	-14.643567	-62.015559	14.643567	76.547046	3.004367	3.942296	-36.615514	-135.125085	
84	-0.059695	-6.399165	-45.678100	-40.592324	45.678100	125.029668	-6.624796	-65.267627	6.624796	79.191893	3.138912	3.985980	-34.805591	-140.714521	
85	0.023260	-6.191574	-50.329690	-38.933409	50.329690	120.128909	2.347759	-67.087745	-2.347759	80.286049	3.278131	4.020604	-32.839887	-145.546108	
86	0.089974	-5.881101	-54.593538	-35.938612	54.593538	112.058236	11.799631	-67.219805	-11.799631	79.551026	3.420180	4.043273	-30.725110	-149.651912	
87	0.111605	-5.497096	-58.314492	-31.872452	58.314492	101.434430	21.134186	-65.648375	-21.134186	76.942105	3.563270	4.051413	-28.471811	-153.091553	
88	0.053158	-5.081559	-61.145980	-27.088527	61.145980	89.372911	29.953285	-62.619502	-29.953285	72.635016	3.706192	4.043078	-26.093398	-155.935516	
89	-0.110505	-4.658522	-62.577019	-21.849107	62.577019	76.725540	38.079450	-58.431598	-38.079450	66.849721	3.848076	4.016818	-23.604629	-158.257239	
90	-0.376727	-4.222360	-62.329509	-16.447602	62.329509	63.909176	45.169170	-53.250537	-45.169170	59.746948	3.987994	3.971412	-21.021198	-160.128065	
91	-0.725677	-3.761948	-60.721401	-11.377494	60.721401	51.361713	50.656580	-47.139146	-50.656580	51.461837	4.125049	3.905897	-18.360276	-161.613210	
92	-1.136031	-3.277428	-58.893300	-7.328833	58.893300	39.715504	53.942865	-40.160008	-53.942865	42.180334	4.258508	3.819710	-15.640181	-162.770490	
93	-1.586498	-2.782051	-58.589726	-5.078434	58.589726	29.684852	54.494132	-32.458345	-54.494132	32.236760	4.387806	3.712878	-12.878724	-163.651919	
94	-2.050687	-2.299993	-61.177833	-5.280039	61.177833	21.968214	51.993132	-24.337465	-51.993132	22.203206	4.512298	3.586335	-10.091157	-164.304973	
95	-2.491586	-1.842601	-66.978087	-8.153601	66.978087	16.801876	46.548074	-16.123131	-46.548074	12.702231	4.630699	3.442095	-7.288320	-164.769585	
96	-2.861346	-1.384734	-76.175172	-13.579529	76.175172	13.665463	38.403334	-7.858726	-38.403334	3.994445	4.740688	3.282857	-4.475987	-165.074965	
97	-3.102654	-0.878933	-89.794092	-21.600176	89.794092	11.812094	27.268285	0.729118	-27.268285	-4.128708	4.839436	3.111494	-1.656241	-165.242684	
